game,price,link,release_date,game_type,image
Journey To The Savage Planet,379.00,https://store.steampowered.com/app/973810/Journey_To_The_Savage_Planet/?snr=1_7_7_240_150_1,"28 Jan, 2021",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/973810/header.jpg?t=1611868322
The Darkest Tales,289.00,https://store.steampowered.com/app/1307690/The_Darkest_Tales/?snr=1_7_7_240_150_1,"13 Oct, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1307690/header.jpg?t=1666624627
Darksiders™,,https://store.steampowered.com/app/50620/Darksiders/?snr=1_7_7_240_150_1,"23 Sep, 2010",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/50620/header.jpg?t=1561964669
Vigil: The Longest Night,317.00,https://store.steampowered.com/app/720560/Vigil_The_Longest_Night/?snr=1_7_7_240_150_1,"14 Oct, 2020",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/720560/header.jpg?t=1633641402
Infernax,289.00,https://store.steampowered.com/app/374190/Infernax/?snr=1_7_7_240_150_1,"14 Feb, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/374190/header.jpg?t=1666626354
Dragon Marked For Death,469.00,https://store.steampowered.com/app/1149440/Dragon_Marked_For_Death/?snr=1_7_7_240_150_1,"21 Apr, 2020",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1149440/header.jpg?t=1667197542
Minoria,289.00,https://store.steampowered.com/app/940910/Minoria/?snr=1_7_7_240_150_1,"27 Aug, 2019",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/940910/header.jpg?t=1655807173
GRIME,319.00,https://store.steampowered.com/app/1123050/GRIME/?snr=1_7_7_240_150_1,"2 Aug, 2021",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1123050/header.jpg?t=1667312385
Rabi-Ribi,339.00,https://store.steampowered.com/app/400910/RabiRibi/?snr=1_7_7_240_150_1,"28 Jan, 2016",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/400910/header.jpg?t=1666603452
Shantae and the Pirate's Curse,369.00,https://store.steampowered.com/app/345820/Shantae_and_the_Pirates_Curse/?snr=1_7_7_240_150_1,"23 Apr, 2015",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/345820/header.jpg?t=1572910769
Owlboy,183.60,https://store.steampowered.com/app/115800/Owlboy/?snr=1_7_7_240_150_1,"1 Nov, 2016",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/115800/header.jpg?t=1659086154
Phoenotopia: Awakening,144.50,https://store.steampowered.com/app/1436590/Phoenotopia_Awakening/?snr=1_7_7_240_150_1,"21 Jan, 2021",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1436590/header.jpg?t=1633606416
Supraland Six Inches Under,289.00,https://store.steampowered.com/app/1522870/Supraland_Six_Inches_Under/?snr=1_7_7_240_150_1,"14 Jan, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1522870/header.jpg?t=1651690822
Heroine Anthem Zero 2 : Scalescars Oath,389.00,https://store.steampowered.com/app/787850/Heroine_Anthem_Zero_2__Scalescars_Oath/?snr=1_7_7_240_150_1,"22 Feb, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/787850/header.jpg?t=1666950860
Greak: Memories of Azur,240.00,https://store.steampowered.com/app/1311070/Greak_Memories_of_Azur/?snr=1_7_7_240_150_1,"17 Aug, 2021",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1311070/header.jpg?t=1663921167
Islets,289.00,https://store.steampowered.com/app/1669420/Islets/?snr=1_7_7_240_150_1,"24 Aug, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1669420/header.jpg?t=1663691792
