game,price,link,release_date,game_type,image
Noita,289.00,https://store.steampowered.com/app/881100/Noita/?snr=1_7_7_240_150_1,"15 Oct, 2020",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/881100/header.jpg?t=1627905909
The Last Stand: Aftermath,319.00,https://store.steampowered.com/app/1266840/The_Last_Stand_Aftermath/?snr=1_7_7_240_150_1,"16 Nov, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1266840/header.jpg?t=1651456335
Yokai Art: Night Parade of One Hundred Demons,99.00,https://store.steampowered.com/app/1812060/Yokai_Art_Night_Parade_of_One_Hundred_Demons/?snr=1_7_7_240_150_1,"28 Sep, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1812060/header.jpg?t=1666593985
20 Minutes Till Dawn,115.00,https://store.steampowered.com/app/1966900/20_Minutes_Till_Dawn/?snr=1_7_7_240_150_1,"7 Jun, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1966900/header.jpg?t=1666879703
Neon Abyss,300.00,https://store.steampowered.com/app/788100/Neon_Abyss/?snr=1_7_7_240_150_1,"14 Jul, 2020",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/788100/header.jpg?t=1655721653
Necrosmith,63.00,https://store.steampowered.com/app/1949190/Necrosmith/?snr=1_7_7_240_150_1,"13 Jul, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1949190/header.jpg?t=1665402126
Monster Train,319.00,https://store.steampowered.com/app/1102190/Monster_Train/?snr=1_7_7_240_150_1,"21 May, 2020",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1102190/header.jpg?t=1666054291
King Arthur: Knight's Tale,519.00,https://store.steampowered.com/app/1157390/King_Arthur_Knights_Tale/?snr=1_7_7_240_150_1,"26 Apr, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1157390/header.jpg?t=1664316529
Army of Ruin,85.00,https://store.steampowered.com/app/1918040/Army_of_Ruin/?snr=1_7_7_240_150_1,"27 Oct, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1918040/header.jpg?t=1667388681
Crypt of the NecroDancer,315.00,https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/?snr=1_7_7_240_150_1,"23 Apr, 2015",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/247080/header.jpg?t=1659637239
Alina of the Arena,239.00,https://store.steampowered.com/app/1668690/Alina_of_the_Arena/?snr=1_7_7_240_150_1,"13 Oct, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1668690/header.jpg?t=1665680596
Rogue Legacy 2,319.00,https://store.steampowered.com/app/1253920/Rogue_Legacy_2/?snr=1_7_7_240_150_1,"28 Apr, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1253920/header.jpg?t=1666126192
Backpack Hero,259.00,https://store.steampowered.com/app/1970580/Backpack_Hero/?snr=1_7_7_240_150_1,"15 Aug, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1970580/header.jpg?t=1667427070
DEATHLOOP,1970.00,https://store.steampowered.com/app/1252330/DEATHLOOP/?snr=1_7_7_240_150_1,"13 Sep, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1252330/header.jpg?t=1663851125
Beautiful Mystic Survivors,99.00,https://store.steampowered.com/app/1930600/Beautiful_Mystic_Survivors/?snr=1_7_7_240_150_1,"14 Oct, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1930600/header.jpg?t=1665745223
