game,price,link,release_date,game_type,image
Warriors Of Titus - F2P,Free To Play,https://store.steampowered.com/app/1513740/Warriors_Of_Titus__F2P/?snr=1_7_7_240_150_1,"22 Jan, 2021",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1513740/capsule_sm_120.jpg?t=1620996007
Crush Online,,https://store.steampowered.com/app/475630/Crush_Online/?snr=1_7_7_240_150_1,"10 Oct, 2016",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/475630/capsule_sm_120.jpg?t=1529402882
Genesis - 创世争霸,,https://store.steampowered.com/app/755080/Genesis/?snr=1_7_7_240_150_1,"13 Mar, 2019",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/755080/capsule_sm_120.jpg?t=1554295692
Bierzerkers,฿129.00,https://store.steampowered.com/app/348460/Bierzerkers/?snr=1_7_7_240_150_1,"25 Feb, 2016",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/348460/capsule_sm_120.jpg?t=1492153494
The Conqueror of Battles,Free To Play,https://store.steampowered.com/app/1931750/The_Conqueror_of_Battles/?snr=1_7_7_240_150_1,"25 Mar, 2022",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1931750/capsule_sm_120.jpg?t=1659997790
Demigod,฿189.00,https://store.steampowered.com/app/202710/Demigod/?snr=1_7_7_240_150_1,"14 Dec, 2011",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/202710/capsule_sm_120.jpg?t=1573747189
Rise of Legions,Free To Play,https://store.steampowered.com/app/748940/Rise_of_Legions/?snr=1_7_7_240_150_1,"30 Aug, 2019",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/748940/capsule_sm_120.jpg?t=1666354682
Ring of Titans,Free,https://store.steampowered.com/app/1460550/Ring_of_Titans/?snr=1_7_7_240_150_1,"28 Feb, 2022",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1460550/capsule_sm_120.jpg?t=1646089326
Spellsworn,Free To Play,https://store.steampowered.com/app/360620/Spellsworn/?snr=1_7_7_240_150_1,"13 Mar, 2018",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/360620/capsule_sm_120.jpg?t=1645099526
League of Pixels - 2D MOBA,Free To Play,https://store.steampowered.com/app/1198760/League_of_Pixels__2D_MOBA/?snr=1_7_7_240_150_1,"26 Dec, 2019",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1198760/capsule_sm_120.jpg?t=1610547376
