game,price,link,release_date,game_type,image
Total War: ATTILA,฿869.00,https://store.steampowered.com/app/325610/Total_War_ATTILA/?snr=1_7_7_240_150_1,"17 Feb, 2015",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/325610/capsule_sm_120.jpg?t=1660663142
Atelier Ryza: Ever Darkness & the Secret Hideout,"฿1,933.00",https://store.steampowered.com/app/1121560/Atelier_Ryza_Ever_Darkness__the_Secret_Hideout/?snr=1_7_7_240_150_1,"28 Oct, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1121560/capsule_sm_120.jpg?t=1663128038
Atelier Ryza 2: Lost Legends & the Secret Fairy,"฿2,031.00",https://store.steampowered.com/app/1257290/Atelier_Ryza_2_Lost_Legends__the_Secret_Fairy/?snr=1_7_7_240_150_1,"25 Jan, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1257290/capsule_sm_120.jpg?t=1664328084
HUMANKIND™,"฿1,249.00",https://store.steampowered.com/app/1124300/HUMANKIND/?snr=1_7_7_240_150_1,"17 Aug, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1124300/capsule_sm_120.jpg?t=1665504817
Hard West 2,฿303.20,https://store.steampowered.com/app/1282410/Hard_West_2/?snr=1_7_7_240_150_1,"4 Aug, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1282410/capsule_sm_120_alt_assets_1.jpg?t=1666038259
Across the Obelisk,฿399.20,https://store.steampowered.com/app/1385380/Across_the_Obelisk/?snr=1_7_7_240_150_1,"16 Aug, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1385380/capsule_sm_120.jpg?t=1666627513
The Legend of Heroes: Trails of Cold Steel III,฿399.60,https://store.steampowered.com/app/991270/The_Legend_of_Heroes_Trails_of_Cold_Steel_III/?snr=1_7_7_240_150_1,"23 Mar, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/991270/capsule_sm_120.jpg?t=1653499699
King Arthur: Knight's Tale,฿519.00,https://store.steampowered.com/app/1157390/King_Arthur_Knights_Tale/?snr=1_7_7_240_150_1,"26 Apr, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1157390/capsule_sm_120.jpg?t=1664316529
Kingdoms Reborn,฿289.00,https://store.steampowered.com/app/1307890/Kingdoms_Reborn/?snr=1_7_7_240_150_1,Nov 2020,Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1307890/capsule_sm_120.jpg?t=1647151137
Wartales,฿886.00,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_240_150_1,"1 Dec, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1527950/capsule_sm_120_alt_assets_0.jpg?t=1665583695
XCOM: Enemy Unknown,฿139.75,https://store.steampowered.com/app/200510/XCOM_Enemy_Unknown/?snr=1_7_7_240_150_1,"11 Oct, 2012",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/200510/capsule_sm_120.jpg?t=1587584126
The Last Spell,฿216.75,https://store.steampowered.com/app/1105670/The_Last_Spell/?snr=1_7_7_240_150_1,"3 Jun, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1105670/capsule_sm_120_alt_assets_3.jpg?t=1666789718
South Park™: The Stick of Truth™,฿800.00,https://store.steampowered.com/app/213670/South_Park_The_Stick_of_Truth/?snr=1_7_7_240_150_1,"5 Mar, 2014",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/213670/capsule_sm_120.jpg?t=1611584789
SD GUNDAM G GENERATION CROSS RAYS,"฿1,490.00",https://store.steampowered.com/app/728530/SD_GUNDAM_G_GENERATION_CROSS_RAYS/?snr=1_7_7_240_150_1,"27 Nov, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/728530/capsule_sm_120.jpg?t=1657615242
Divinity: Original Sin - Enhanced Edition,฿255.15,https://store.steampowered.com/app/373420/Divinity_Original_Sin__Enhanced_Edition/?snr=1_7_7_240_150_1,"27 Oct, 2015",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/373420/capsule_sm_120.jpg?t=1665155407
Might & Magic® Heroes® VII,฿267.50,https://store.steampowered.com/app/321960/Might__Magic_Heroes_VII/?snr=1_7_7_240_150_1,"29 Sep, 2015",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/321960/capsule_sm_120.jpg?t=1611670106
Disgaea 5 Complete,฿117.25,https://store.steampowered.com/app/803600/Disgaea_5_Complete/?snr=1_7_7_240_150_1,"22 Oct, 2018",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/803600/capsule_sm_120.jpg?t=1644004353
Slay the Spire,฿319.00,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"23 Jan, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/646570/capsule_sm_120.jpg?t=1666988685
Despot's Game: Dystopian Battle Simulator,฿289.00,https://store.steampowered.com/app/1227280/Despots_Game_Dystopian_Battle_Simulator/?snr=1_7_7_240_150_1,"29 Sep, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1227280/capsule_sm_120.jpg?t=1666610790
FINAL FANTASY VII,฿289.99,https://store.steampowered.com/app/39140/FINAL_FANTASY_VII/?snr=1_7_7_240_150_1,"4 Jul, 2013",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/39140/capsule_sm_120.jpg?t=1655449322
Battle Brothers,฿559.00,https://store.steampowered.com/app/365360/Battle_Brothers/?snr=1_7_7_240_150_1,"24 Mar, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/365360/capsule_sm_120.jpg?t=1645794092
Coromon,฿202.30,https://store.steampowered.com/app/1218210/Coromon/?snr=1_7_7_240_150_1,"31 Mar, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1218210/capsule_sm_120.jpg?t=1666897053
Hero's Hour,฿174.85,https://store.steampowered.com/app/1656780/Heros_Hour/?snr=1_7_7_240_150_1,"1 Mar, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1656780/capsule_sm_120.jpg?t=1664357654
FINAL FANTASY X/X-2 HD Remaster,฿559.00,https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/?snr=1_7_7_240_150_1,"12 May, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/359870/capsule_sm_120.jpg?t=1646911512
Stoneshard,฿319.00,https://store.steampowered.com/app/625960/Stoneshard/?snr=1_7_7_240_150_1,"6 Feb, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/625960/capsule_sm_120.jpg?t=1665595816
Wildermyth,฿319.00,https://store.steampowered.com/app/763890/Wildermyth/?snr=1_7_7_240_150_1,"15 Jun, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/763890/capsule_sm_120.jpg?t=1659543382
