game,price,link,release_date,game_type,image
King Arthur: Knight's Tale,519.00,https://store.steampowered.com/app/1157390/King_Arthur_Knights_Tale/?snr=1_7_7_240_150_1,"26 Apr, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1157390/header.jpg?t=1664316529
OCTOPATH TRAVELER™,1899.00,https://store.steampowered.com/app/921570/OCTOPATH_TRAVELER/?snr=1_7_7_240_150_1,"7 Jun, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/921570/header.jpg?t=1663152377
OMORI,289.00,https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_240_150_1,"25 Dec, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1150690/header.jpg?t=1655277094
ENDLESS™ Space 2,729.00,https://store.steampowered.com/app/392110/ENDLESS_Space_2/?snr=1_7_7_240_150_1,"18 May, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/392110/header.jpg?t=1642780221
For The King,289.00,https://store.steampowered.com/app/527230/For_The_King/?snr=1_7_7_240_150_1,"19 Apr, 2018",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/527230/header.jpg?t=1657213218
Slay the Spire,319.00,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"23 Jan, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/646570/header.jpg?t=1666988685
FINAL FANTASY X/X-2 HD Remaster,559.00,https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/?snr=1_7_7_240_150_1,"12 May, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/359870/header.jpg?t=1646911512
RISK: Global Domination,0,https://store.steampowered.com/app/1128810/RISK_Global_Domination/?snr=1_7_7_240_150_1,"19 Feb, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1128810/header.jpg?t=1666331658
FINAL FANTASY VIII - REMASTERED,619.00,https://store.steampowered.com/app/1026680/FINAL_FANTASY_VIII__REMASTERED/?snr=1_7_7_240_150_1,"3 Sep, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1026680/header.jpg?t=1582570782
Total War: NAPOLEON – Definitive Edition,489.00,https://store.steampowered.com/app/34030/Total_War_NAPOLEON__Definitive_Edition/?snr=1_7_7_240_150_1,"25 Feb, 2010",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/34030/header.jpg?t=1603132402
Total War: MEDIEVAL II – Definitive Edition,489.00,https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition/?snr=1_7_7_240_150_1,"27 Nov, 2007",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/4700/header.jpg?t=1603131082
TROUBLESHOOTER: Abandoned Children,197.45,https://store.steampowered.com/app/470310/TROUBLESHOOTER_Abandoned_Children/?snr=1_7_7_240_150_1,"23 Apr, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/470310/header.jpg?t=1666354523
Legend of Keepers: Career of a Dungeon Manager,57.80,https://store.steampowered.com/app/978520/Legend_of_Keepers_Career_of_a_Dungeon_Manager/?snr=1_7_7_240_150_1,"29 Apr, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/978520/header.jpg?t=1667162979
Stoneshard,319.00,https://store.steampowered.com/app/625960/Stoneshard/?snr=1_7_7_240_150_1,"6 Feb, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/625960/header.jpg?t=1665595816
Battle Brothers,559.00,https://store.steampowered.com/app/365360/Battle_Brothers/?snr=1_7_7_240_150_1,"24 Mar, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/365360/header.jpg?t=1667298527
Across the Obelisk,499.00,https://store.steampowered.com/app/1385380/Across_the_Obelisk/?snr=1_7_7_240_150_1,"16 Aug, 2022",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1385380/header.jpg?t=1666627513
SD GUNDAM G GENERATION CROSS RAYS,1490.00,https://store.steampowered.com/app/728530/SD_GUNDAM_G_GENERATION_CROSS_RAYS/?snr=1_7_7_240_150_1,"27 Nov, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/728530/header.jpg?t=1657615242
Gloomhaven,599.00,https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_240_150_1,"20 Oct, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/780290/header.jpg?t=1667271927
