Rogue-lite_game,price,link,release_date
FATE,฿159.00,https://store.steampowered.com/app/246840/FATE/?snr=1_7_7_240_150_1,"12 Dec, 2013"
Touhou Endless Dream,฿159.00,https://store.steampowered.com/app/1245540/Touhou_Endless_Dream/?snr=1_7_7_240_150_1,"1 Nov, 2021"
The Void Rains Upon Her Heart,฿219.00,https://store.steampowered.com/app/790060/The_Void_Rains_Upon_Her_Heart/?snr=1_7_7_240_150_1,"14 Feb, 2018"
Yamafuda! 2nd station,฿219.00,https://store.steampowered.com/app/1727520/Yamafuda_2nd_station/?snr=1_7_7_240_150_1,"24 Sep, 2021"
EndCycle VS,฿379.00,https://store.steampowered.com/app/886200/EndCycle_VS/?snr=1_7_7_240_150_1,"20 Apr, 2022"
They Don't Sleep,฿50.40,https://store.steampowered.com/app/2009380/They_Dont_Sleep/?snr=1_7_7_240_150_1,"14 Sep, 2022"
Traditional Chinese Medicine Simulator,฿289.00,https://store.steampowered.com/app/909380/Traditional_Chinese_Medicine_Simulator/?snr=1_7_7_240_150_1,"28 Jul, 2021"
Gobby McGobblenutz Presents - The Questionably Quirky Quiz Show,฿45.00,https://store.steampowered.com/app/1719180/Gobby_McGobblenutz_Presents__The_Questionably_Quirky_Quiz_Show/?snr=1_7_7_240_150_1,"4 Oct, 2021"
The Advisor - Episode 1: Royal Pain,฿63.00,https://store.steampowered.com/app/1601680/The_Advisor__Episode_1_Royal_Pain/?snr=1_7_7_240_150_1,"31 May, 2021"
Brutal Orchestra,฿288.99,https://store.steampowered.com/app/1734320/Brutal_Orchestra/?snr=1_7_7_240_150_1,"17 Dec, 2021"
